Filename,Percentage
30-vars/problem_2__010.smt2,75.42%
30-vars/problem_2__016.smt2,22.13%
30-vars/problem_2__021.smt2,46.01%
30-vars/problem_2__022.smt2,25.61%
30-vars/problem_2__035.smt2,18.29%
30-vars/problem__003.smt2,75.21%
30-vars/problem__004.smt2,75.02%
30-vars/problem__010.smt2,75.48%
30-vars/problem__012.smt2,50.27%
30-vars/problem__015.smt2,34.48%
30-vars/problem__017.smt2,28.91%
30-vars/problem__020.smt2,26.10%
30-vars/problem__027.smt2,44.05%
30-vars/problem__035.smt2,14.88%
35-vars/problem_2__007.smt2,61.49%
35-vars/problem_2__015.smt2,33.39%
35-vars/problem_2__017.smt2,29.81%
35-vars/problem_2__019.smt2,27.47%
35-vars/problem_2__022.smt2,24.71%
35-vars/problem_2__026.smt2,15.61%
35-vars/problem_2__029.smt2,21.04%
35-vars/problem_2__033.smt2,26.35%
35-vars/problem__003.smt2,75.23%
35-vars/problem__004.smt2,75.74%
35-vars/problem__006.smt2,73.87%
35-vars/problem__010.smt2,74.60%
35-vars/problem__016.smt2,56.83%
35-vars/problem__019.smt2,37.68%
35-vars/problem__035.smt2,23.40%
40-vars/problem_2__003.smt2,74.37%
40-vars/problem_2__006.smt2,72.82%
40-vars/problem_2__007.smt2,75.04%
40-vars/problem_2__020.smt2,29.41%
40-vars/problem_2__023.smt2,27.48%
40-vars/problem_2__025.smt2,29.89%
40-vars/problem_2__029.smt2,22.97%
40-vars/problem_2__032.smt2,14.58%
40-vars/problem_2__034.smt2,17.06%
40-vars/problem__004.smt2,74.29%
40-vars/problem__009.smt2,75.36%
40-vars/problem__012.smt2,56.01%
40-vars/problem__015.smt2,33.28%
40-vars/problem__017.smt2,30.69%
40-vars/problem__032.smt2,21.32%
45-vars/problem_2__004.smt2,74.91%
45-vars/problem_2__007.smt2,75.61%
45-vars/problem_2__011.smt2,40.43%
45-vars/problem_2__017.smt2,35.63%
45-vars/problem_2__020.smt2,41.57%
45-vars/problem_2__021.smt2,33.16%
45-vars/problem_2__024.smt2,28.69%
45-vars/problem_2__034.smt2,23.85%
45-vars/problem__007.smt2,75.73%
45-vars/problem__015.smt2,41.01%
45-vars/problem__018.smt2,39.15%
45-vars/problem__028.smt2,27.13%
45-vars/problem__029.smt2,31.68%
45-vars/problem__030.smt2,25.62%
45-vars/problem__033.smt2,29.75%
convert/convert-jpg2gif-query-1140.smt2,32.01%
convert/convert-jpg2gif-query-1145.smt2,32.02%
convert/convert-jpg2gif-query-1146.smt2,32.40%
convert/convert-jpg2gif-query-1152.smt2,32.78%
convert/convert-jpg2gif-query-1164.smt2,32.05%
convert/convert-jpg2gif-query-1191.smt2,20.09%
convert/convert-jpg2gif-query-1203.smt2,20.43%
convert/convert-jpg2gif-query-1358.smt2,22.12%
convert/convert-jpg2gif-query-1365.smt2,0.00%
convert/convert-jpg2gif-query-1370.smt2,19.57%
convert/convert-jpg2gif-query-1372.smt2,17.92%
convert/convert-jpg2gif-query-1423.smt2,17.02%
convert/convert-jpg2gif-query-1459.smt2,19.18%
convert/convert-jpg2gif-query-1561.smt2,0.00%
convert/convert-jpg2gif-query-1590.smt2,0.00%
dillig/10-21.smt2,78.33%
dillig/15-20.smt2,78.69%
dillig/25-26.smt2,15.12%
dillig/25-9.smt2,85.31%
dillig/30-12.smt2,18.49%
dillig/30-23.smt2,12.22%
dillig/30-28.smt2,12.42%
dillig/35-11.smt2,19.97%
dillig/40-10.smt2,89.44%
dillig/40-17.smt2,22.69%
dillig/40-25.smt2,30.71%
dillig/40-35.smt2,21.31%
dillig/40-4.smt2,91.84%
dillig/45-26.smt2,16.98%
dillig/45-28.smt2,21.69%
pb2010/normalized-1096.cudf.paranoid.smt2,11.34%
pb2010/normalized-j3024_4-sat.smt2,8.75%
pb2010/normalized-j3025_1-sat.smt2,0.00%
pb2010/normalized-j3025_7-sat.smt2,0.00%
pb2010/normalized-j3027_8-sat.smt2,7.69%
pb2010/normalized-j3031_7-sat.smt2,4.80%
pb2010/normalized-j3037_5-sat.smt2,0.24%
pb2010/normalized-j3048_8-sat.smt2,4.17%
pb2010/normalized-j308_6-sat.smt2,8.60%
pb2010/normalized-j6015_4-sat.smt2,9.32%
pb2010/normalized-j6018_3-sat.smt2,5.84%
pb2010/normalized-j6022_1-sat.smt2,1.00%
pb2010/normalized-j6035_10-sat.smt2,3.55%
pb2010/normalized-j6040_1-sat.smt2,5.06%
pb2010/normalized-j6048_4-sat.smt2,6.04%
prime-cone/prime_cone_sat_10.smt2,45.95%
prime-cone/prime_cone_sat_13.smt2,43.75%
prime-cone/prime_cone_sat_14.smt2,48.29%
prime-cone/prime_cone_sat_15.smt2,8.86%
prime-cone/prime_cone_sat_17.smt2,40.01%
prime-cone/prime_cone_sat_19.smt2,51.27%
prime-cone/prime_cone_sat_2.smt2,33.88%
prime-cone/prime_cone_sat_20.smt2,47.07%
