Filename,Percentage
20-vars/problem__024.smt2,72.58%
20-vars/problem__028.smt2,23.73%
25-vars/problem_2__002.smt2,75.64%
25-vars/problem_2__003.smt2,75.32%
25-vars/problem_2__008.smt2,75.28%
25-vars/problem_2__011.smt2,75.99%
25-vars/problem_2__016.smt2,75.67%
25-vars/problem_2__018.smt2,73.14%
25-vars/problem_2__024.smt2,70.72%
25-vars/problem_2__025.smt2,74.40%
25-vars/problem_2__026.smt2,70.83%
25-vars/problem_2__032.smt2,51.28%
25-vars/problem__004.smt2,73.21%
25-vars/problem__012.smt2,77.31%
25-vars/problem__019.smt2,77.03%
25-vars/problem__029.smt2,62.29%
25-vars/problem__035.smt2,60.20%
30-vars/problem_2__005.smt2,75.21%
30-vars/problem_2__010.smt2,75.71%
30-vars/problem_2__016.smt2,73.77%
30-vars/problem_2__021.smt2,73.71%
30-vars/problem_2__022.smt2,72.85%
30-vars/problem_2__035.smt2,78.05%
30-vars/problem__003.smt2,75.67%
30-vars/problem__004.smt2,74.70%
30-vars/problem__010.smt2,75.97%
30-vars/problem__012.smt2,76.11%
30-vars/problem__015.smt2,75.41%
30-vars/problem__017.smt2,76.30%
30-vars/problem__020.smt2,70.90%
30-vars/problem__027.smt2,78.22%
30-vars/problem__035.smt2,69.05%
35-vars/problem_2__007.smt2,75.95%
35-vars/problem_2__015.smt2,75.20%
35-vars/problem_2__017.smt2,67.93%
35-vars/problem_2__019.smt2,74.72%
35-vars/problem_2__022.smt2,71.09%
35-vars/problem_2__026.smt2,77.48%
35-vars/problem_2__029.smt2,78.51%
35-vars/problem_2__033.smt2,79.33%
35-vars/problem__003.smt2,57.13%
35-vars/problem__004.smt2,75.91%
35-vars/problem__006.smt2,74.84%
35-vars/problem__010.smt2,74.58%
35-vars/problem__016.smt2,67.93%
35-vars/problem__019.smt2,75.59%
35-vars/problem__035.smt2,77.72%
40-vars/problem_2__003.smt2,74.82%
40-vars/problem_2__006.smt2,75.00%
40-vars/problem_2__007.smt2,73.88%
40-vars/problem_2__020.smt2,64.25%
40-vars/problem_2__023.smt2,77.77%
40-vars/problem_2__025.smt2,74.51%
40-vars/problem_2__029.smt2,77.86%
40-vars/problem_2__032.smt2,78.64%
40-vars/problem_2__034.smt2,69.91%
40-vars/problem__004.smt2,53.84%
40-vars/problem__009.smt2,73.37%
40-vars/problem__012.smt2,74.55%
40-vars/problem__015.smt2,75.16%
40-vars/problem__017.smt2,69.10%
40-vars/problem__032.smt2,78.57%
45-vars/problem_2__004.smt2,73.13%
45-vars/problem_2__007.smt2,73.93%
45-vars/problem_2__011.smt2,72.88%
45-vars/problem_2__017.smt2,65.40%
45-vars/problem_2__020.smt2,72.51%
45-vars/problem_2__021.smt2,62.27%
45-vars/problem_2__024.smt2,76.92%
45-vars/problem_2__034.smt2,78.52%
45-vars/problem__007.smt2,75.12%
45-vars/problem__015.smt2,68.73%
45-vars/problem__018.smt2,66.79%
45-vars/problem__028.smt2,74.29%
45-vars/problem__029.smt2,68.39%
45-vars/problem__030.smt2,77.69%
45-vars/problem__033.smt2,78.44%
convert/convert-jpg2gif-query-1140.smt2,25.63%
convert/convert-jpg2gif-query-1145.smt2,25.27%
convert/convert-jpg2gif-query-1146.smt2,24.69%
convert/convert-jpg2gif-query-1152.smt2,25.07%
convert/convert-jpg2gif-query-1164.smt2,24.82%
convert/convert-jpg2gif-query-1191.smt2,0.17%
convert/convert-jpg2gif-query-1203.smt2,0.21%
convert/convert-jpg2gif-query-1358.smt2,0.23%
convert/convert-jpg2gif-query-1365.smt2,0.25%
convert/convert-jpg2gif-query-1370.smt2,0.24%
convert/convert-jpg2gif-query-1372.smt2,0.21%
convert/convert-jpg2gif-query-1423.smt2,0.20%
convert/convert-jpg2gif-query-1459.smt2,0.22%
convert/convert-jpg2gif-query-1561.smt2,0.00%
convert/convert-jpg2gif-query-1590.smt2,0.00%
dillig/10-21.smt2,78.43%
dillig/15-20.smt2,64.50%
dillig/25-26.smt2,92.26%
dillig/25-9.smt2,92.81%
dillig/30-12.smt2,91.97%
dillig/30-23.smt2,91.89%
dillig/30-28.smt2,92.29%
dillig/35-11.smt2,93.34%
dillig/40-10.smt2,90.83%
dillig/40-17.smt2,91.55%
dillig/40-25.smt2,93.12%
dillig/40-35.smt2,94.70%
dillig/40-4.smt2,89.02%
dillig/45-26.smt2,95.13%
dillig/45-28.smt2,94.44%
pb2010/normalized-1096.cudf.paranoid.smt2,11.34%
pb2010/normalized-j3024_4-sat.smt2,8.33%
pb2010/normalized-j3025_1-sat.smt2,0.00%
pb2010/normalized-j3025_7-sat.smt2,0.00%
pb2010/normalized-j3027_8-sat.smt2,6.85%
pb2010/normalized-j3031_7-sat.smt2,4.54%
pb2010/normalized-j3037_5-sat.smt2,0.00%
pb2010/normalized-j3048_8-sat.smt2,4.03%
pb2010/normalized-j308_6-sat.smt2,7.98%
