Filename,Percentage
15-vars/problem_2__003.smt2,75.15%
15-vars/problem_2__006.smt2,72.80%
15-vars/problem_2__007.smt2,73.64%
15-vars/problem_2__008.smt2,77.41%
15-vars/problem_2__009.smt2,75.38%
15-vars/problem_2__015.smt2,63.28%
15-vars/problem_2__023.smt2,67.73%
15-vars/problem__002.smt2,75.71%
15-vars/problem__004.smt2,73.79%
15-vars/problem__010.smt2,75.82%
15-vars/problem__011.smt2,70.67%
15-vars/problem__013.smt2,74.80%
15-vars/problem__017.smt2,19.28%
15-vars/problem__019.smt2,70.29%
20-vars/problem_2__004.smt2,76.76%
20-vars/problem_2__006.smt2,77.35%
20-vars/problem_2__007.smt2,74.79%
20-vars/problem_2__010.smt2,74.69%
20-vars/problem_2__012.smt2,75.98%
20-vars/problem_2__015.smt2,69.88%
20-vars/problem__003.smt2,74.06%
20-vars/problem__004.smt2,75.34%
20-vars/problem__005.smt2,75.51%
20-vars/problem__008.smt2,76.05%
20-vars/problem__009.smt2,75.50%
20-vars/problem__012.smt2,75.28%
20-vars/problem__021.smt2,64.86%
20-vars/problem__024.smt2,68.54%
20-vars/problem__028.smt2,54.81%
25-vars/problem_2__002.smt2,75.29%
25-vars/problem_2__003.smt2,75.60%
25-vars/problem_2__008.smt2,76.28%
25-vars/problem_2__011.smt2,74.72%
25-vars/problem_2__016.smt2,0.89%
25-vars/problem_2__018.smt2,68.51%
25-vars/problem_2__024.smt2,6.37%
25-vars/problem_2__025.smt2,2.13%
25-vars/problem_2__026.smt2,0.98%
25-vars/problem_2__032.smt2,0.69%
25-vars/problem__004.smt2,75.23%
25-vars/problem__012.smt2,43.38%
25-vars/problem__019.smt2,1.04%
25-vars/problem__029.smt2,1.93%
25-vars/problem__035.smt2,2.12%
30-vars/problem_2__005.smt2,75.49%
30-vars/problem_2__010.smt2,76.29%
30-vars/problem_2__016.smt2,1.31%
30-vars/problem_2__021.smt2,0.00%
30-vars/problem_2__022.smt2,2.04%
30-vars/problem_2__035.smt2,0.58%
30-vars/problem__003.smt2,75.51%
30-vars/problem__004.smt2,75.02%
30-vars/problem__010.smt2,76.03%
30-vars/problem__012.smt2,46.92%
30-vars/problem__015.smt2,7.51%
30-vars/problem__017.smt2,1.70%
30-vars/problem__020.smt2,2.41%
30-vars/problem__027.smt2,1.23%
30-vars/problem__035.smt2,0.76%
35-vars/problem_2__007.smt2,66.50%
