Filename,Percentage
prime-cone/prime_cone_sat_4.smt2,14.72%
prime-cone/prime_cone_sat_5.smt2,15.10%
prime-cone/prime_cone_sat_6.smt2,18.51%
prime-cone/prime_cone_sat_7.smt2,18.32%
prime-cone/prime_cone_sat_8.smt2,32.00%
prime-cone/prime_cone_sat_9.smt2,21.33%
slacks/10-13.slack.smt2,0.00%
slacks/15-13.slack.smt2,49.80%
slacks/15-5.slack.smt2,0.00%
slacks/15-7.slack.smt2,49.15%
slacks/20-19.slack.smt2,59.90%
slacks/25-17.slack.smt2,54.38%
slacks/30-10.slack.smt2,0.00%
slacks/35-25.slack.smt2,56.43%
slacks/35-5.slack.smt2,54.58%
slacks/40-14.slack.smt2,68.48%
slacks/40-9.slack.smt2,59.97%
slacks/45-14.slack.smt2,71.17%
slacks/45-24.slack.smt2,57.30%
slacks/45-26.slack.smt2,55.09%
slacks/45-34.slack.smt2,47.88%
